#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_017586.1	899	1681	+	-	-	SCATT_RS35805	WP_014627184.1	260	A-factor biosynthesis repeat-containing protein
chr	NC_017586.1	2045	2527	-	-	-	SCATT_RS00010	WP_014627186.1	160	hypothetical protein
chr	NC_017586.1	2686	3369	-	-	-	SCATT_RS00015	WP_014140780.1	227	TetR/AcrR family transcriptional regulator
chr	NC_017586.1	3457	4092	+	-	-	SCATT_RS00020	WP_014627187.1	211	epimerase
chr	NC_017586.1	4308	4736	-	-	-	SCATT_RS00025	WP_014140782.1	142	hypothetical protein
chr	NC_017586.1	4932	5909	-	-	-	SCATT_RS00030	WP_014140783.1	325	LysR family transcriptional regulator
chr	NC_017586.1	6069	7340	+	-	-	SCATT_RS00035	WP_042507598.1	423	MFS transporter
chr	NC_017586.1	7525	7959	-	-	-	SCATT_RS00040	WP_014140785.1	144	DUF2267 domain-containing protein
chr	NC_017586.1	8831	10315	-	-	-	SCATT_RS00045	WP_014140787.1	494	MFS transporter
chr	NC_017586.1	10982	11692	-	-	-	SCATT_RS00050	WP_014627193.1	236	nucleoside/nucleotide kinase family protein
chr	NC_017586.1	13111	13878	-	-	-	SCATT_RS00055	WP_014140792.1	255	hypothetical protein
chr	NC_017586.1	14096	15232	+	-	-	SCATT_RS00060	WP_014627197.1	378	hypothetical protein
chr	NC_017586.1	15368	15757	-	-	-	SCATT_RS00065	WP_014140794.1	129	membrane protein
chr	NC_017586.1	15923	16498	-	-	-	SCATT_RS00070	WP_014140795.1	191	hypothetical protein
chr	NC_017586.1	16594	17784	+	-	-	SCATT_RS00075	WP_014627199.1	396	hypothetical protein
chr	NC_017586.1	17921	18676	-	-	-	SCATT_RS00080	WP_014140797.1	251	hypothetical protein
chr	NC_017586.1	19052	20218	-	-	-	SCATT_RS00085	WP_014140798.1	388	lactate 2-monooxygenase
chr	NC_017586.1	20289	21164	-	-	-	SCATT_RS00090	WP_014140799.1	291	fructosamine kinase
chr	NC_017586.1	21161	21625	-	-	-	SCATT_RS00095	WP_014140800.1	154	low molecular weight phosphotyrosine protein phosphatase
chr	NC_017586.1	21790	22152	+	-	-	SCATT_RS00100	WP_014140801.1	120	anti-sigma factor antagonist
chr	NC_017586.1	22214	22669	-	-	-	SCATT_RS00105	WP_014140802.1	151	hypothetical protein
chr	NC_017586.1	22774	23244	+	-	-	SCATT_RS00110	WP_014140803.1	156	hypothetical protein
chr	NC_017586.1	23269	23610	-	-	-	SCATT_RS00115	WP_014140804.1	113	hypothetical protein
chr	NC_017586.1	23607	24347	-	-	-	SCATT_RS00120	WP_014627201.1	246	hypothetical protein
chr	NC_017586.1	24338	24943	-	-	-	SCATT_RS00125	WP_014140806.1	201	RNA polymerase sigma factor
chr	NC_017586.1	25059	25976	-	-	-	SCATT_RS00130	WP_014140807.1	305	diiron oxygenase
chr	NC_017586.1	26084	26755	+	-	-	SCATT_RS00135	WP_014140808.1	223	TetR/AcrR family transcriptional regulator
chr	NC_017586.1	26788	27123	+	-	-	SCATT_RS00140	WP_014140809.1	111	DUF4873 domain-containing protein
chr	NC_017586.1	27126	28592	-	-	-	SCATT_RS00145	WP_014140810.1	488	ornithine decarboxylase
chr	NC_017586.1	28721	28903	+	-	-	SCATT_RS00150	WP_014140811.1	60	CsbD family protein
chr	NC_017586.1	28975	29394	-	-	-	SCATT_RS00155	WP_014627203.1	139	hypothetical protein
chr	NC_017586.1	29482	32025	-	-	-	SCATT_RS00160	WP_014627204.1	847	ABC transporter permease
chr	NC_017586.1	32178	33413	+	-	-	SCATT_RS00165	WP_014140814.1	411	two-component sensor histidine kinase
chr	NC_017586.1	33419	34078	+	-	-	SCATT_RS00170	WP_041824277.1	219	DNA-binding response regulator
chr	NC_017586.1	34182	34871	+	-	-	SCATT_RS00175	WP_014140816.1	229	helix-turn-helix domain-containing protein
chr	NC_017586.1	34891	35886	-	-	-	SCATT_RS00180	WP_014140817.1	331	YihY/virulence factor BrkB family protein
chr	NC_017586.1	36469	36882	-	-	-	SCATT_RS00185	WP_014140819.1	137	DUF2795 domain-containing protein
chr	NC_017586.1	36945	38432	-	-	hpnR	SCATT_RS00190	WP_014140820.1	495	hopanoid C-3 methylase HpnR
chr	NC_017586.1	38710	39579	+	-	-	SCATT_RS00195	WP_014140821.1	289	membrane protein
chr	NC_017586.1	39576	40460	+	-	-	SCATT_RS00200	WP_014140822.1	294	hypothetical protein
chr	NC_017586.1	40804	41892	-	-	-	SCATT_RS00205	WP_014140823.1	362	S1 family peptidase
chr	NC_017586.1	43334	44260	+	-	-	SCATT_RS00215	WP_014140826.1	308	alcohol dehydrogenase
chr	NC_017586.1	44305	44724	+	-	-	SCATT_RS00220	WP_014140827.1	139	limonene-1,2-epoxide hydrolase, partial
chr	NC_017586.1	44751	45233	-	-	-	SCATT_RS00225	WP_014140828.1	160	hypothetical protein
chr	NC_017586.1	45276	47699	-	-	-	SCATT_RS00230	WP_014140829.1	807	glycoside hydrolase family 65 protein
chr	NC_017586.1	47701	48489	-	-	-	SCATT_RS00235	WP_014140830.1	262	hypothetical protein
chr	NC_017586.1	48850	49542	-	-	-	SCATT_RS00240	WP_014140831.1	230	GntR family transcriptional regulator
chr	NC_017586.1	49641	50174	+	-	-	SCATT_RS00245	WP_014140832.1	177	YbhB/YbcL family Raf kinase inhibitor-like protein
chr	NC_017586.1	50208	51098	+	-	-	SCATT_RS00250	WP_014140833.1	296	hypothetical protein
chr	NC_017586.1	51216	51617	-	-	-	SCATT_RS00255	WP_014140834.1	133	hypothetical protein
