#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
Un	NZ_JODY01000001.1	176	997	+	-	-	IF23_RS0100005	WP_037677004.1	273	hypothetical protein
Un	NZ_JODY01000001.1	988	2181	+	-	-	IF23_RS0100010	WP_078653728.1	397	type VII secretion-associated serine protease mycosin
Un	NZ_JODY01000001.1	2278	2718	-	-	-	IF23_RS0100015	WP_030278307.1	146	PPOX class F420-dependent oxidoreductase
Un	NZ_JODY01000001.1	2845	3579	+	-	-	IF23_RS0100020	WP_030278309.1	244	hypothetical protein
Un	NZ_JODY01000001.1	3694	4431	+	-	-	IF23_RS0100025	WP_030278311.1	245	MIP family channel protein
Un	NZ_JODY01000001.1	4500	4880	-	-	-	IF23_RS0100030	WP_030278313.1	126	hypothetical protein
Un	NZ_JODY01000001.1	5234	5935	+	-	-	IF23_RS0100035	WP_078653697.1	233	translation initiation factor IF-3
Un	NZ_JODY01000001.1	6054	6248	+	-	-	IF23_RS0100040	WP_030278317.1	64	50S ribosomal protein L35
Un	NZ_JODY01000001.1	6350	6733	+	-	-	IF23_RS0100045	WP_030278319.1	127	50S ribosomal protein L20
Un	NZ_JODY01000001.1	6851	7705	+	-	-	IF23_RS0100050	WP_030278321.1	284	RNA methyltransferase
Un	NZ_JODY01000001.1	7804	8919	+	-	-	IF23_RS0100055	WP_030278323.1	371	PAS domain-containing sensor histidine kinase
Un	NZ_JODY01000001.1	9100	10224	+	-	-	IF23_RS0100060	WP_030278325.1	374	phenylalanine--tRNA ligase subunit alpha
Un	NZ_JODY01000001.1	10226	12751	+	-	-	IF23_RS0100065	WP_030278327.1	841	phenylalanine--tRNA ligase subunit beta
Un	NZ_JODY01000001.1	13194	14558	+	-	-	IF23_RS0100070	WP_078653698.1	454	serine/threonine-protein phosphatase
Un	NZ_JODY01000001.1	14655	15992	+	-	-	IF23_RS0100075	WP_030278330.1	445	hypothetical protein
Un	NZ_JODY01000001.1	16051	16581	+	-	-	IF23_RS0100080	WP_030278332.1	176	NUDIX hydrolase
Un	NZ_JODY01000001.1	16633	16890	-	-	-	IF23_RS0100085	WP_030278335.1	85	hypothetical protein
Un	NZ_JODY01000001.1	17149	18018	-	-	-	IF23_RS0100090	WP_030278337.1	289	3-hydroxybutyryl-CoA dehydrogenase
Un	NZ_JODY01000001.1	18183	19451	+	-	-	IF23_RS0100095	WP_030278339.1	422	hypothetical protein
Un	NZ_JODY01000001.1	19529	19729	-	-	-	IF23_RS0100100	WP_030278341.1	66	DUF1918 domain-containing protein
Un	NZ_JODY01000001.1	19917	20906	-	-	-	IF23_RS0100105	WP_030278343.1	329	EamA/RhaT family transporter
Un	NZ_JODY01000001.1	20905	22368	+	-	-	IF23_RS0100110	WP_030278345.1	487	PLP-dependent aminotransferase family protein
Un	NZ_JODY01000001.1	22422	22874	+	-	-	IF23_RS0100115	WP_030278346.1	150	GNAT family N-acetyltransferase
Un	NZ_JODY01000001.1	23021	24076	+	-	-	IF23_RS0100120	WP_030278349.1	351	hypothetical protein
Un	NZ_JODY01000001.1	24153	27605	-	-	-	IF23_RS0100125	WP_030278351.1	1150	sporulation protein
Un	NZ_JODY01000001.1	27661	29187	-	-	-	IF23_RS0100130	WP_030278353.1	508	hypothetical protein
Un	NZ_JODY01000001.1	29288	43657	-	-	-	IF23_RS0100135	WP_030278354.1	4789	hypothetical protein
Un	NZ_JODY01000001.1	43654	43986	-	-	-	IF23_RS0100140	WP_030278356.1	110	hypothetical protein
Un	NZ_JODY01000001.1	44117	44521	-	-	-	IF23_RS32340	WP_078653699.1	134	hypothetical protein
Un	NZ_JODY01000001.1	46551	47072	-	-	-	IF23_RS0100155	WP_030278362.1	173	hypothetical protein
Un	NZ_JODY01000001.1	47233	47544	-	-	-	IF23_RS0100160	WP_030278364.1	103	hypothetical protein
Un	NZ_JODY01000001.1	47644	47967	-	-	-	IF23_RS0100165	WP_030278367.1	107	WXG100 family type VII secretion target
Un	NZ_JODY01000001.1	48073	49593	-	-	-	IF23_RS0100170	WP_030278369.1	506	type VII secretion protein EccB
Un	NZ_JODY01000001.1	49741	51135	-	-	-	IF23_RS0100175	WP_030278370.1	464	type VII secretion integral membrane protein EccD
Un	NZ_JODY01000001.1	51601	55566	+	-	-	IF23_RS0100180	WP_030278372.1	1321	type VII secretion protein EccC
Un	NZ_JODY01000001.1	55732	56880	+	-	-	IF23_RS0100185	WP_051739046.1	382	glycosyltransferase
Un	NZ_JODY01000001.1	56950	58191	-	-	-	IF23_RS0100190	WP_078653700.1	413	hypothetical protein
Un	NZ_JODY01000001.1	58320	59084	-	-	-	IF23_RS0100195	WP_030278378.1	254	class I SAM-dependent methyltransferase
Un	NZ_JODY01000001.1	59258	60187	+	-	-	IF23_RS0100200	WP_037676943.1	309	ABC transporter ATP-binding protein
Un	NZ_JODY01000001.1	60189	60941	+	-	-	IF23_RS0100205	WP_030278386.1	250	ABC transporter permease
Un	NZ_JODY01000001.1	61019	62278	+	-	-	IF23_RS0100210	WP_030278388.1	419	sensor histidine kinase
Un	NZ_JODY01000001.1	62271	62912	+	-	-	IF23_RS0100215	WP_030278390.1	213	DNA-binding response regulator
Un	NZ_JODY01000001.1	63288	64787	+	-	-	IF23_RS0100220	WP_078653729.1	499	FAD-binding protein
Un	NZ_JODY01000001.1	64919	65587	+	-	-	IF23_RS0100225	WP_030278394.1	222	hypothetical protein
Un	NZ_JODY01000001.1	65584	68970	+	-	-	IF23_RS0100230	WP_030278396.1	1128	ATP-binding protein
